host	host_disease	isolation_source	Manual_identified_host	Manual_source_category	Manual_source	Manual_sample
homo sapiens	missing	urine, clean catch	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine, clean catch	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	unknown	urine, clean-voided	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	not collected	urine, clean-voided	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	urinary tract infection	urine, cytoscopy	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine, first void	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine, icu	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	not collected	urine, indwelling catheter	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	not collected	urine, initial stream	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	missing	urine, mid stream	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	not collected	urine, midstream	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine, midstream	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	bacterial infection	urine, neonate	Hospital-associated	Pediatric Clinical Sample	UTIs	Urine
homo sapiens		urine, oncology	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	not collected	urine, single-use catheter	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine, urology	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	bacterial infection	urine, voided	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	pneumonia	urine/catheter	Hospital-associated	Human Clinical Sample	Respiratory Infections/Illnesses	Urine
homo sapiens	missing	urine/genitourinary	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	missing	urine/urinary tract	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine; cc	Hospital-associated	Human Clinical Sample	Unknown	Urine
homo sapiens		urine; cvms	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine; indwelling	Hospital-associated	Human Clinical Sample	Unknown	Urine
homo sapiens		urine; indwelling catheter	Hospital-associated	Human Clinical Sample	Unknown	Urine
homo sapiens		urine; isolate	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine; midstream	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine; nephrostomy	Hospital-associated	Human Clinical Sample	Urological Surgeries	Urine
homo sapiens	urinary tract infection	urine; urinary tract infection	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine;clean catch	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine;midstream	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine_	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine_2	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine_3	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine_4	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine_clean catch/voided	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urine_other	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	sepsis	urines	Hospital-associated	Human Clinical Sample	Sepsis/Septic Shock	Urine
homo sapiens	colonization	urines	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	urinary infection	urines	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	not applicable	urines	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	not collected	urines (colonisation)	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	not collected	urines (infection)	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	missing	urine-void	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	uti	urine-void	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens		urin-mittelstrahl	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	burnt patient	uroculture	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Urine
homo sapiens	klebsiella colonization	urthral swab	Hospital-associated	Human Clinical Sample	UTIs	Urethral Swab
homo sapiens		ur-urine	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	vulvovaginits	voiding: midstream clean catch	Hospital-associated	Human Clinical Sample	Reproductive System Infections/Illnesses	Urine
homo sapiens	cystitis	voiding: midstream clean catch	Hospital-associated	Human Clinical Sample	UTIs	Urine
homo sapiens	cerebral hemorrhage	environmental swab of the urine bag	Hospital-associated	Hospital Environment Sample	Infusion and IV Equipment	Urine Bag
homo sapiens	not collected	urine - bag	Hospital-associated	Hospital Environment Sample	Infusion and IV Equipment	Urine Bag
homo sapiens		urine bag	Hospital-associated	Hospital Environment Sample	Infusion and IV Equipment	Urine Bag
homo sapiens	not collected	urostomy device	Hospital-associated	Hospital Environment Sample	Specialized Medical Equipment	Urostomy Device
homo sapiens	gonorrhoea	endometrium	Hospital-associated	Human Clinical Sample	STDs	Uterine
homo sapiens		uterus discharge	Hospital-associated	Human Clinical Sample	Reproductive System Infections/Illnesses	Uterine
homo sapiens	cerebral hemorrhage	environmental swab of the vacuum extractor	Hospital-associated	Hospital Environment Sample	Miscellaneous	Vaccum Extrcator
homo sapiens	pulmonary infection	environmental swab of the vacuum extractor	Hospital-associated	Hospital Environment Sample	Miscellaneous	Vaccum Extrcator
environmental	aspiration pneumonia, shock	button panels of ventilators	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
environmental	cerebral infarction, intracranial arterial thrombectomy, pneumonia	button panels of ventilators	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
environmental	liver cirrhosis, gastroesophageal varices bleeding	button panels of ventilators	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		hospital ventilator	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
not applicable	not collected	mechanical ventilation system	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		respiratory assistance device	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
environmental sample	not applicable	ventilator	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
homo sapiens	nicu	ventilator	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
not applicable	not applicable	ventilator	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
homo sapiens		ventilator condensate	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
homo sapiens		ventilator knob	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
homo sapiens	not collected	ventilator nose piece	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_na_bu12	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_na_bu21	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p1_bu24	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p101_bu13	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p101_bu22	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p107_bu12	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p108_bu14	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p115_bu5	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p130_bu23	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p131_bu4	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p132_bu20	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p19_bu18	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p19_bu20	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p2_bu1	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p22_bu23	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p23_bu25	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p26_bu28	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p27_bu18	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p34_bu17	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p35_bu19	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p4_bu3	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p45_bu22	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p47_bu17	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p54_bu19	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p55_bu22	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p56_bu5	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p6_bu8	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p77_bu25	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p78_bu13	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p8_bu9	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p87_bu8	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p91_bu9	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p96_bu15	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelf_p97_bu8	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator shelves	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
homo sapiens	not collected	ventilator swab external	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
homo sapiens	not collected	ventilator swab internal	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_na_bu13	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_na_bu21	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_na_bu6	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p1_bu24	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p101_bu13	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p101_bu22	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p113_bu23	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p113_bu6	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p115_bu5	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p125_bu10	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p13_bu21	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p132_bu20	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p138_bu17	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p139_bu23	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p14_bu15	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p19_bu18	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p19_bu20	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p2_bu1	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p21_bu22	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p22_bu23	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p23_bu25	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p24_bu26	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p25_bu27	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p26_bu28	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p27_bu18	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p29_bu6	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p33_bu16	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p33_bu24	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p37_bu4	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p4_bu3	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p42_bu15	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p46_bu24	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p47_bu17	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p49_bu12	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p50_bu20	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p50_bu7	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p51_bu14	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p53_bu18	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p54_bu19	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p56_bu5	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p57_bu19	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p6_bu5	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p6_bu8	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p7_bu6	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p77_bu25	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p8_bu9	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p87_bu8	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p91_bu9	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p96_bu15	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilator_p97_bu24	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
		ventilators	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventilator
homo sapiens		ventricular assist device	Hospital-associated	Hospital Environment Sample	Surgical and Therapeutic Equipment	Ventricular Assist Device
homo sapiens		vital sign monitor knob	Hospital-associated	Human Clinical Sample	Monitoring and Diagnostic Equipment	Vital Monitor
homo sapiens		eye fluid - vitreous	Hospital-associated	Human Clinical Sample	Eye Infection	Vitreous Humor
homo sapiens		eye gel	Hospital-associated	Human Clinical Sample	Eye Infection	Vitreous Humor
homo sapiens	endopthalmitis	vitreous	Hospital-associated	Human Clinical Sample	Eye Infection	Vitreous Humor
homo sapiens	unknown	vitreous	Hospital-associated	Human Clinical Sample	Eye Infection	Vitreous Humor
homo sapiens		vitreous aspirate from patient diagnosed with endophthalmitis	Hospital-associated	Human Clinical Sample	Eye Infection	Vitreous Humor
homo sapiens	not collected	vitreous fluid	Hospital-associated	Human Clinical Sample	Eye Infection	Vitreous Humor
homo sapiens		vitreous fluid	Hospital-associated	Human Clinical Sample	Eye Infection	Vitreous Humor
homo sapiens	endogenous endophthalmitis	vitreous fluid from young man	Hospital-associated	Human Clinical Sample	Eye Infection	Vitreous Humor
homo sapiens	streptococcal infections	vitreous humor	Hospital-associated	Human Clinical Sample	Eye Infection	Vitreous Humor
homo sapiens		vitreous humor	Hospital-associated	Human Clinical Sample	Eye Infection	Vitreous Humor
homo sapiens		vitreum of patients with endophthalmitis	Hospital-associated	Human Clinical Sample	Eye Infection	Vitreous Humor
homo sapiens	not collected	vulva swab	Hospital-associated	Human Clinical Sample	Reproductive System Infections/Illnesses	Cervical/Vaginal
homo sapiens		vulval swab	Hospital-associated	Human Clinical Sample	Reproductive System Infections/Illnesses	Cervical/Vaginal
homo sapiens	unknown	vulvar secretions	Hospital-associated	Human Clinical Sample	Reproductive System Infections/Illnesses	Cervical/Vaginal
homo sapiens	blast injury	walker	Hospital-associated	Hospital Environment Sample	Beds and Support Equipment	Walker
homo sapiens	colonization, asymptomatic	walker , facility 1000	Hospital-associated	Hospital Environment Sample	Beds and Support Equipment	Walker
homo sapiens	wound	biological	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
canis lupus familiaris	cellulitis	bite wound	Hospital-associated	Human Clinical Sample	Animal Bites and Stings	Wound Swab
canis lupus familiaris	wound dehiscence	bite wound	Hospital-associated	Human Clinical Sample	Animal Bites and Stings	Wound Swab
canis lupus familiaris		bite wound	Hospital-associated	Human Clinical Sample	Animal Bites and Stings	Wound Swab
homo sapiens	saepticemia, osteomyelitis, wound infection	blood	Hospital-associated	Human Clinical Sample	Bone Infection/Inflammation	Wound Swab
homo sapiens	not collected	boil wound swab	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	not collected	breast wound swab	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	burn wound	burn	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	wound infection	burn	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
		burn	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	burn	burn wound	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	burn patient	burn wound	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	burn wound	burn wound	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	burn wounds of human	burn wound	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	infection	burn wound	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	missing	burn wound	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	not collected	burn wound	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	unknown	burn wound	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens		burn wound	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
severely burned patient		burn wound	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	burn wound infection	burn wound katient 03.03, day 1 of phage therapy	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	burn wound infection	burn wound patient 10.01, day 0 of phage therapy	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	burn disease	burn wound surface	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	burn wound	burn wounds	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens	wound infection	buttock	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens		buttock wound	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	missing	buttock wound swab	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	unknown	buttocks wound	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	not applicable	c wound	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	not applicable	c wound - buttock	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	not applicable	c wound - foot	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	not applicable	c wound (buttock)	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	not applicable	c wound (foot)	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	not applicable	c wound (hip/right)	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	not applicable	c wound (r hip)	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	not applicable	c wound, other	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	wound infection	catheter site	Hospital-associated	Human Clinical Sample	Catheter-associated Infections	Wound Swab
homo sapiens	not collected	cheek wound swab	Hospital-associated	Human Clinical Sample	Oral Infection/Colonization	Wound Swab
homo sapiens	wound infection	chest wall wound	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens		chest wound	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	infant dental ulcer	children	Hospital-associated	Pediatric Clinical Sample	Oral Infection/Colonization	Wound Swab
		chin wound	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens		chronic leg ulcer	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens		chronic wound	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	cirurgical wound	clinical isolate	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	wound	clinical sample	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens		clinical wounds	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens		combat injury wound	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	corneal ulcer	conjunctiva	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	diabeticfootulcer	cutaneous wound	Hospital-associated	Human Clinical Sample	Endocrine Disorders	Wound Swab
homo sapiens	missing	cwound - coccyx	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	missing	cwound - right foot	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	skin and soft Biopsy infection	cxwnd	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
missing	missing	decubitius ulcer	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
		decubitus	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	blast injury	deep wound at the right gluteal region (human)	Hospital-associated	Human Clinical Sample	Other Injuries	Wound Swab
homo sapiens	blast injury	deep wound at the right heel (human)	Hospital-associated	Human Clinical Sample	Other Injuries	Wound Swab
homo sapiens	blast injury	deep wound at the upper pin of the fixator at the thigh (human)	Hospital-associated	Human Clinical Sample	Other Injuries	Wound Swab
homo sapiens	not applicable	deep wound smear	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens		deep wound swab	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	diabetes	diabetic foot ulcer	Hospital-associated	Human Clinical Sample	Endocrine Disorders	Wound Swab
homo sapiens	type 2 diabetes	diabetic foot ulcer	Hospital-associated	Human Clinical Sample	Endocrine Disorders	Wound Swab
homo sapiens	missing	diabetic wound	Hospital-associated	Human Clinical Sample	Endocrine Disorders	Wound Swab
not available		dog-bite wound	Hospital-associated	Human Clinical Sample	Animal Bites and Stings	Wound Swab
homo sapiens	chronic wound	dorsal wound	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	missing	drain inserting site	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens		drain site swab	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	missing	drain would fluid	Hospital-associated	Human Clinical Sample	Unsorted Bacterial Infections	Wound Swab
homo sapiens	urinary tract infection	drainage fluid from surgical incision	Hospital-associated	Human Clinical Sample	UTIs	Wound Swab
not available		drainage, surgical incision	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Drainage Fluid
homo sapiens	electric injury	effusion	Hospital-associated	Human Clinical Sample	Burns and Soft Tissue Injuries	Wound Swab
homo sapiens		elbow wound	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	not collected	elbow wound swab	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	surgical wound infection	femural surgical wound	Hospital-associated	Human Clinical Sample	Miscellaneous Surgery Sites	Wound Swab
homo sapiens	respiratory distress	fester	Hospital-associated	Human Clinical Sample	Reproductive System Infections/Illnesses	Wound Swab
homo sapiens	homo sapiens	fester	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	not collected	fester	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	soft Biopsy infection	fester	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
homo sapiens	sore severing auricle	fester	Hospital-associated	Human Clinical Sample	Soft Tissue Infections/Colonization	Wound Swab
